date,file,title,hex1,hex2,hex3,hex4,hex5
2026-09-24,"Henri_Le_Sidaner_(1862-1939),_L'Eau_morte,_(1901)._Pastel_on_canvas,_60.3_x_81.3_cm.jpg",Henri Le Sidaner: L'Eau_morte,#85785a,#684a0d,#faecbe,#3f281f,#b69b34
2026-09-25,F1000017.JPG,Personal Collection,#e22600,#3b352e,#e8dac8,#39424c,#5b381b
2026-09-26,China_old_map_1936.jpg,Chinese Map from 1936,#dbc58e,#6d7793,#e8f256,#62475d,#ac7d2c
2026-09-27,Cukrowicz_nachbaur_Kapelle_1.JPG,Lovely House,#955724,#eddab2,#7f471e,#cc9c64,#0a1ea8
2026-09-28,tumblr_d9c7494ba46f355a363e52ec32e68248_5f3871c5_2048.jpg,Tumblr Image,#b6babd,#351c07,#161212,#850119,#c3aa82
2026-09-29,Orlando-Ferguson-flat-earth-map_edit.jpg,Orlando-Ferguson-flat-earth-map_edit,#f9e6d8,#9fa095,#000104,#9f7957,#4b4449
2026-09-30,tumblr_8085b3ce0ac1b6665858db5956956f51_27e43609_1280.jpg,tumblr_8085b3ce0ac1b6665858db5956956f51_27e43609_1280,#414241,#5e6236,#6d0d02,#9ac986,#e84d01
2026-10-01,F1000002.JPG,F1000002,#0e0e13,#1f5f5f,#b29f5a,#6a3226,#31365f
2026-10-02,AI.jpg,AI,#627f76,#f99158,#fece7f,#f95b39,#000000
2026-10-03,Human–canine_friendship_-_girl_hugging_her_dog_tightly_at_golden_hour_in_Laos.jpg,Human–canine_friendship_-_girl_hugging_her_dog_tightly_at_golden_hour_in_Laos,#d18f61,#a8b9cc,#533825,#15253f,#7a613d
2026-10-04,Deep_Space_1_spacecraft.jpg,Deep_Space_1_spacecraft,#24180a,#5d4533,#837b83,#d89729,#f3cf81
2026-10-05,Grand_star-forming_region_R136_in_NGC_2070_(captured_by_the_Hubble_Space_Telescope).jpg,Grand_star-forming_region_R136_in_NGC_2070_(captured_by_the_Hubble_Space_Telescope),#5d3233,#a84e39,#a79b8e,#4b495f,#839abe
2026-10-06,Lars_Hansen_-_Christ_with_Crown_of_Thorns._Copy_of_Guido_Reni._-_TKM-368-1925_-_Trondheim_kunstmuseum_(cropped).jpg,Lars_Hansen_-_Christ_with_Crown_of_Thorns._Copy_of_Guido_Reni._-_TKM-368-1925_-_Trondheim_kunstmuseum_(cropped),#4b3e2d,#2b251d,#827c5e,#a49473,#726140
2026-10-07,World_Map_1689.JPG,World_Map_1689,#d2c3a2,#8d8161,#59543e,#253222,#663b23
2026-10-08,NASA_astronaut_Leland_D._Melvin_with_his_dogs_Jake_and_Scout.jpg,NASA_astronaut_Leland_D._Melvin_with_his_dogs_Jake_and_Scout,#78615e,#ff6702,#122551,#83091c,#b33202
2026-10-09,748033861-R1-17-19A.jpg,748033861-R1-17-19A,#2e3f3f,#cfc69f,#394f33,#fdfdfb,#69412e
2026-10-10,Deep_Space_2.jpg,Deep_Space_2,#000000,#f3efe9,#78583d,#aa9685,#d6a145
2026-10-11,share-your-funniest-looney-tunes-screenshots-here-v0-0uv7rsx7hsjh1.webp,share-your-funniest-looney-tunes-screenshots-here-v0-0uv7rsx7hsjh1,#e8e8e6,#844e45,#ea7434,#928d8f,#21171e
